METIER,INDIVIDUEL,LIBRE,ROUTINIER,TERRAIN,DIPLOME,SALAIRE,DEMANDE,PENEBILITE,QUALITE1,QUALITE2,QUALITE3,DESCRIPTION_METIER,EXPLICATION_INDIVIDUEL,EXPLICATION_LIBRE,EXPLICATION_ROUTINIER,EXPLICATION_TERRAIN,EXPLICATION_DIPLOME,EXPLICATION_SALAIRE,EXPLICATION_DEMANDE,EXPLICATION_PENEBILITE,SLUG,IMAGE,YOUTUBE1,YOUTUBE2,PROMPT_IMAGE,DESCRIPTION_MINI,URL_FICHE,URL_IMAGE
Technicien·ne Hygiéne Sécurité Environnement,6,8,5,4,Bac+2/3,2.5,4,Moyenne,Vigilance,Pédagogie,Rigueur,"Hygiène, Sécurité, Environnement — c'est ma responsabilité. J'identifie les risques dans l'entreprise, je forme les équipes aux bonnes pratiques, je m'assure que la réglementation est respectée. Mon but : que personne ne rentre chez soi blessé, et que l'entreprise limite son impact environnemental. Un métier de terrain, de pédagogie et de conviction, au croisement du technique et de l'humain.","J'interviens auprès de toutes les équipes pour former et sensibiliser, mais je mène aussi des analyses en autonomie.",Mon travail s'appuie sur des règles et lois strictes et des procédures précises — la conformité est non négociable.,"La réglementation évolue et les risques changent, mais les fondamentaux de la prévention restent constants.","Je suis régulièrement sur le terrain pour identifier les risques, avec une partie de mon temps consacrée aux rapports et à la veille réglementaire.",Un BTS HSE ou une licence pro en sécurité industrielle ouvre les portes du métier. L'alternance est très bien vue par les recruteur·euses.,"Rémunération correcte pour le niveau Bac+2/3, avec une progression liée à l'expérience et aux certifications obtenues.",Les exigences réglementaires croissantes poussent toutes les industries à recruter des profils HSE. La demande est forte et régulière dans la région.,"Travail mixte bureau/terrain, pas de pénibilité physique directe. La charge vient de la veille réglementaire et de la gestion des incidents.",technicien-hse,technicien-hse.png,,,"flat modern vector illustration, educational card game illustration style, same visual style across the whole series, clean minimal shapes, soft pastel industrial color palette, friendly character design, subtle shading, simplified gigafactory and electric vehicle battery industry environment, professional but playful, high quality vector illustration, transparent background, no text, no letters, no numbers, no logo, no QR code, portrait composition, character and main scene grouped in the upper 65% of the image, lower 35% intentionally left empty and transparent for future text and QR code, centered composition, consistent framing, consistent lighting, consistent line weight, consistent color palette, single character clearly readable, strong job-identifying props, uncluttered background, male HSE technician wearing helmet and safety vest inspecting a battery storage or production area with checklist, thermal safety equipment and hazard control context",Je mets en place et contrôle les règles de sécurité et de protection de l’environnement.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=technicien-hse,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/technicien-hse.png
Technicien·ne logistique,5,8,4,3,Bac+2,2,4,Moyenne,Fiabilité,Organisation,Rigueur,"Je gère les flux de marchandises au quotidien : réception, préparation, expédition. J'utilise des outils informatiques pour suivre les stocks, je coordonne les mouvements et j'appuie les équipes de transport. Mon objectif : que rien ne manque, que rien ne traîne. C'est un métier rythmé, concret, où l'organisation et la réactivité font toute la différence.","Je travaille en coordination avec les équipes de réception, d'expédition et de transport, tout en gérant mon propre périmètre.","Mes tâches suivent des procédures bien définies : chaque flux est tracé, chaque mouvement est codifié.","Mon quotidien est rythmé et prévisible, même si des imprévus (retards, erreurs) viennent régulièrement pimenter la journée.","Je suis principalement en entrepôt, en mouvement entre les rayonnages, les quais et les zones de stockage.",Un BTS en logistique ou gestion des transports suffit pour débuter. Le CACES (conduite d'engins) est souvent un plus apprécié.,"Salaire d'entrée modeste, mais le métier offre de bonnes perspectives d'évolution vers des postes de responsable logistique.",La région est un hub logistique national. Les offres sont nombreuses et le profil Bac+2 logistique est très demandé sur le marché local.,"Travail en entrepôt avec port de charges possibles, mais moins physique que cariste ou opérateur·rice. Les horaires décalés restent fréquents.",technicien-logistique,technicien-logistique.png,,https://www.youtube.com/watch?v=ZV93MigCUf8,,"Je gère les stocks, prépare les commandes et organise les flux de produits.",https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=technicien-logistique,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/technicien-logistique.png
Data analyst industriel,4,6,7,10,Bac+5,5,4,Faible,Analyse,Patience,Précision,"Je transforme des données brutes en informations utiles pour l'entreprise. Capteurs, machines, lignes de production — tout génère des données que j'analyse pour comprendre ce qui se passe vraiment. Je détecte des anomalies, j'anticipe des pannes, j'aide à prendre de meilleures décisions. Ce métier est à la frontière de l'industrie et du numérique — idéal si tu aimes les chiffres et les défis concrets.","Je travaille souvent en autonomie sur mes analyses, mais je collabore avec les équipes pour comprendre leurs besoins et restituer mes résultats.","Je suis une méthode d'analyse rigoureuse, mais je dois faire preuve de créativité pour trouver les bonnes questions à poser aux données.",Les données industrielles sont en constante évolution — chaque nouveau jeu de données est une nouvelle énigme à résoudre.,"Je travaille exclusivement sur écran, plongé·e dans les données, les modèles et les visualisations.","Un master en data science, statistiques ou informatique industrielle. Les doubles compétences data + industrie sont particulièrement recherchées.",Parmi les meilleures rémunérations de l'industrie. La rareté des profils et la valeur ajoutée créée expliquent ce niveau de salaire.,"L'industrie 4.0 crée une demande forte pour les expert·es de la donnée. Les Hauts-de-France, région industrielle, suivent cette tendance.","Exclusivement en bureau, sur écran. Aucune pénibilité physique. Le défi est intellectuel : transformer des données complexes en décisions utiles.",data-analyst,data-analyst.png,,,"flat modern vector illustration, educational card game illustration style, same visual style across the whole series, clean minimal shapes, soft pastel industrial color palette, friendly character design, subtle shading, simplified gigafactory and electric vehicle battery industry environment, professional but playful, high quality vector illustration, transparent background, no text, no letters, no numbers, no logo, no QR code, portrait composition, character and main scene grouped in the upper 65% of the image, lower 35% intentionally left empty and transparent for future text and QR code, centered composition, consistent framing, consistent lighting, consistent line weight, consistent color palette, single character clearly readable, strong job-identifying props, uncluttered background.

androgynous non-binary internal communication specialist preparing a staff announcement about factory life, safety or production updates on a laptop, visual communication posture, clearly androgynous face, neutral jawline, soft facial features, short neutral haircut, no makeup, neutral clothing style (not masculine, not feminine), slim or medium build, gender-neutral appearance, working at a desk with laptop and communication notes, simplified factory environment visible in the background.",J'analyse les données de production pour améliorer les performances de l’usine.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=data-analyst,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/data-analyst.png
Cariste,2,9,2,0,CACES,1,3,Forte,Vigilance,Réflexes,Rigueur,"Je conduis des chariots élévateurs pour déplacer, stocker et approvisionner les lignes de production. Je travaille dans l'entrepôt, je respecte des règles strictes de sécurité et j'assure la fluidité des flux. Mon rôle est essentiel : sans moi, les lignes s'arrêtent. C'est un métier de précision, de rigueur et de responsabilité, dans un environnement dynamique où chaque geste compte.","Je travaille souvent seul·e sur mon chariot, même si je reste en lien avec les équipes logistiques.","Mes déplacements, mes vitesses et mes gestes suivent des règles de sécurité strictes et non négociables.",Mon travail est régulier et maîtrisé — la constance et la fiabilité sont les clés de l'efficacité.,"Je suis en permanence en mouvement dans l'entrepôt, au volant de mon chariot élévateur.",Le CACES (Certificat d'Aptitude à la Conduite En Sécurité) est la certification clé. Elle s'obtient en quelques jours de formation.,"Le salaire est proche du SMIC, avec des primes possibles selon les entreprises. L'évolution vers technicien·ne logistique est un tremplin fréquent.",La demande est réelle mais l'automatisation des entrepôts commence à modifier les besoins. Les profils polyvalents restent appréciés.,"Travail physique, bruit, vibrations, horaires décalés et risques liés à la conduite d'engins. Un métier exigeant qui demande rigueur et vigilance constante.",cariste,cariste.png,https://www.youtube.com/watch?v=VLx8qyqcciM,https://www.youtube.com/watch?v=-IHq05kOcfM,"flat modern vector illustration, educational card game illustration style, same visual style across the whole series, clean minimal shapes, soft pastel industrial color palette, friendly character design, subtle shading, simplified gigafactory and electric vehicle battery industry environment, professional but playful, high quality vector illustration, transparent background, no text, no letters, no numbers, no logo, no QR code, portrait composition, character and main scene grouped in the upper 65% of the image, lower 35% intentionally left empty and transparent for future text and QR code, centered composition, consistent framing, consistent lighting, consistent line weight, consistent color palette, single character clearly readable, strong job-identifying props, uncluttered background, female forklift driver with piercings, pink hair transporting big bag pallets inside an industrial warehouse",Je déplace et stocke les marchandises à l’aide d’un chariot élévateur.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=cariste,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/cariste.png
Administrateur·rice systèmes et réseaux,4,7,7,9,Bac+2/3,4,4,Faible,Analyse,Patience,Rigueur,"Je maintiens en vie l'infrastructure numérique de l'entreprise : serveurs, réseaux, outils informatiques. Je configure, je sécurise, je résous les problèmes techniques. Quand ça plante, je suis là. Quand ça tourne bien, c'est grâce à moi. Ce métier demande rigueur, curiosité technique et sang-froid. Il est discret mais stratégique : aujourd'hui, une entreprise sans informatique fiable, c'est une entreprise à l'arrêt.","Je travaille souvent seul·e sur les infrastructures, mais je suis l'appui technique de toute l'entreprise.",Je suis garant·e de la stabilité et de la sécurité des systèmes — mes interventions suivent des procédures précises.,La cybersécurité et les technologies évoluent vite : je dois sans cesse me former et m'adapter aux nouvelles menaces.,"Je travaille principalement depuis mon bureau ou la salle serveurs, avec des interventions ponctuelles sur site.","Un BTS SIO ou une licence pro en informatique est la voie classique. Les certifications professionnelles (Cisco, Microsoft...) sont très valorisées.",Un bon niveau de salaire pour un Bac+2/3. La rareté des profils et la criticité du poste expliquent cette rémunération attractive.,"Toutes les entreprises dépendent de leur informatique. Les profils systèmes et réseaux sont recrutés dans tous les secteurs, industrie comprise.","Travail en bureau ou salle serveurs, conditions confortables. Des astreintes ponctuelles sont possibles en cas de panne critique.",administrateur-systemes,administrateur-systemes.png,,https://www.youtube.com/watch?v=As-9mzySN_o,,"J'installe, sécurise et maintient les systèmes informatiques et réseaux de l’entreprise.",https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=administrateur-systemes,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/administrateur-systemes.png
Ingénieur·e de production,8,7,7,4,Bac+5,5,4,Moyenne,Analyse,Organisation,Décision,"J'analyse les processus de fabrication pour les rendre plus efficaces, plus rapides, moins coûteux. Je collabore avec les opérateur·rices, les technicien·nes et les chef·fes d'équipe pour trouver des solutions concrètes. Je mesure, je teste, je propose. C'est un métier qui demande à la fois des compétences techniques solides et une vraie capacité à travailler avec les autres.","Je travaille en permanence avec les opérateur·rices, les technicien·nes et les chef·fes d'équipe pour améliorer les process.","Je m'appuie sur des méthodes d'amélioration continue structurées, tout en gardant une approche créative pour résoudre les problèmes.","Je travaille souvent sur les mêmes lignes de production, mais j'améliore régulièrement les méthodes et les performances.","Je partage mon temps entre le bureau (analyses, plans d'action) et le terrain (observations, tests).","Un diplôme d'ingénieur·e en génie industriel, mécanique ou généraliste. L'alternance en école d'ingénieur·e est une voie très appréciée.","Excellent niveau de rémunération, cohérent avec le niveau d'études et la valeur stratégique du poste pour l'entreprise.",L'amélioration continue est une priorité pour l'industrie. Les ingénieur·es de production sont activement recherché·es dans les Hauts-de-France.,"Travail mixte bureau/terrain, sans pénibilité physique majeure. La pression vient des objectifs de performance et des délais d'amélioration.",ingenieur-production,ingenieur-production.png,https://www.youtube.com/watch?v=8HlmZkJX_UQ,,,J'optimise les procédés et l’organisation pour améliorer la production industrielle.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=ingenieur-production,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/ingenieur-production.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
